"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
476,37,"BFA","Burkina Faso",1,"Balé","","","Province","Province"
477,37,"BFA","Burkina Faso",2,"Bam","","","Province","Province"
478,37,"BFA","Burkina Faso",3,"Banwa","","","Province","Province"
479,37,"BFA","Burkina Faso",4,"Bazéga","","","Province","Province"
567,37,"BFA","Burkina Faso",5,"Bougouriba","","","Province","Province"
568,37,"BFA","Burkina Faso",6,"Boulgou","","","Province","Province"
569,37,"BFA","Burkina Faso",7,"Boulkiemdé","","","Province","Province"
570,37,"BFA","Burkina Faso",8,"Ganzourgou","","","Province","Province"
571,37,"BFA","Burkina Faso",9,"Gnagna","","","Province","Province"
572,37,"BFA","Burkina Faso",10,"Gourma","","","Province","Province"
573,37,"BFA","Burkina Faso",11,"Houet","","","Province","Province"
574,37,"BFA","Burkina Faso",12,"Ioba","","","Province","Province"
575,37,"BFA","Burkina Faso",13,"Kadiogo","","","Province","Province"
576,37,"BFA","Burkina Faso",14,"Kénédougou","","","Province","Province"
577,37,"BFA","Burkina Faso",15,"Komoé","","","Province","Province"
578,37,"BFA","Burkina Faso",16,"Komondjari","","","Province","Province"
579,37,"BFA","Burkina Faso",17,"Kompienga","","","Province","Province"
580,37,"BFA","Burkina Faso",18,"Kossi","","","Province","Province"
581,37,"BFA","Burkina Faso",19,"Koulpélogo","","","Province","Province"
582,37,"BFA","Burkina Faso",20,"Kouritenga","","","Province","Province"
583,37,"BFA","Burkina Faso",21,"Kourwéogo","","","Province","Province"
584,37,"BFA","Burkina Faso",22,"Léraba","","","Province","Province"
585,37,"BFA","Burkina Faso",23,"Loroum","","","Province","Province"
586,37,"BFA","Burkina Faso",24,"Mou Houn","","","Province","Province"
587,37,"BFA","Burkina Faso",25,"Nahouri","","","Province","Province"
588,37,"BFA","Burkina Faso",26,"Namentenga","","","Province","Province"
589,37,"BFA","Burkina Faso",27,"Nayala","","","Province","Province"
590,37,"BFA","Burkina Faso",28,"Oubritenga","","","Province","Province"
591,37,"BFA","Burkina Faso",29,"Oudalan","","","Province","Province"
592,37,"BFA","Burkina Faso",30,"Passoré","","","Province","Province"
593,37,"BFA","Burkina Faso",31,"Poni","","","Province","Province"
594,37,"BFA","Burkina Faso",32,"Sanguié","","","Province","Province"
595,37,"BFA","Burkina Faso",33,"Sanmatenga","","","Province","Province"
596,37,"BFA","Burkina Faso",34,"Séno","","","Province","Province"
597,37,"BFA","Burkina Faso",35,"Sissili","","","Province","Province"
598,37,"BFA","Burkina Faso",36,"Soum","","","Province","Province"
599,37,"BFA","Burkina Faso",37,"Sourou","","","Province","Province"
600,37,"BFA","Burkina Faso",38,"Tapoa","","","Province","Province"
601,37,"BFA","Burkina Faso",39,"Tuy","","","Province","Province"
602,37,"BFA","Burkina Faso",40,"Yagha","","","Province","Province"
603,37,"BFA","Burkina Faso",41,"Yatenga","","","Province","Province"
604,37,"BFA","Burkina Faso",42,"Ziro","","","Province","Province"
605,37,"BFA","Burkina Faso",43,"Zondoma","","","Province","Province"
606,37,"BFA","Burkina Faso",44,"Zoundwéogo","","","Province","Province"
